# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
0.6475 13.4408 4.52319 4.4765 4.44109
0.65 13.5264 4.55219 4.50473 4.46948
0.6525 13.6122 4.58124 4.53301 4.49794
0.655 13.6982 4.61035 4.56134 4.52646
0.6575 13.7843 4.63952 4.58974 4.55503
0.66 13.8706 4.66875 4.6182 4.58366
0.6625 13.9571 4.69803 4.64671 4.61236
0.665 14.0438 4.72737 4.67528 4.64111
0.6675 14.1306 4.75676 4.70392 4.66992
0.67 14.2176 4.78621 4.73261 4.69879
0.6725 14.3048 4.81572 4.76136 4.72771
0.675 14.3922 4.84528 4.79018 4.7567
0.6775 14.4797 4.8749 4.81905 4.78574
0.68 14.5674 4.90457 4.84798 4.81484
0.6825 14.6553 4.93429 4.87697 4.844
0.685 14.7433 4.96407 4.90602 4.87321
0.6875 14.8315 4.99391 4.93513 4.90248
0.69 14.9199 5.0238 4.9643 4.93181
0.6925 15.0085 5.05375 4.99353 4.96119
0.695 15.0972 5.08375 5.02282 4.99063
0.6975 15.1861 5.11381 5.05217 5.02012
0.7 15.2752 5.14392 5.08158 5.04967
0.7025 15.3644 5.17408 5.11105 5.07927
0.705 15.4538 5.2043 5.14057 5.10892
0.7075 15.5434 5.23458 5.17015 5.13863
0.71 15.6331 5.26491 5.19979 5.16838
0.7125 15.723 5.2953 5.22949 5.19819
0.715 15.813 5.32575 5.25924 5.22805
0.7175 15.9033 5.35625 5.28906 5.25796
0.72 15.9936 5.3868 5.31892 5.28792
0.7225 16.0842 5.41741 5.34884 5.31793
0.725 16.1749 5.44808 5.37882 5.34798
0.7275 16.2657 5.4788 5.40885 5.37809
0.73 16.3568 5.50958 5.43894 5.40824
0.7325 16.4479 5.54041 5.46908 5.43844
0.735 16.5393 5.5713 5.49928 5.46868
0.7375 16.6307 5.60224 5.52953 5.49897
0.74 16.7224 5.63324 5.55984 5.52931
0.7425 16.8142 5.66429 5.59021 5.55969
0.745 16.9061 5.69539 5.62063 5.59011
0.7475 16.9982 5.72655 5.65111 5.62058
0.75 17.0905 5.75776 5.68164 5.6511
0.7525 17.1829 5.78903 5.71223 5.68166
0.755 17.2755 5.82035 5.74288 5.71227
0.7575 17.3682 5.85172 5.77359 5.74292
0.76 17.4611 5.88313 5.80435 5.77362
0.7625 17.5541 5.9146 5.83517 5.80436
0.765 17.6473 5.94612 5.86604 5.83515
0.7675 17.7407 5.97769 5.89698 5.86598
0.77 17.8341 6.00931 5.92797 5.89686
0.7725 17.9278 6.04097 5.95901 5.92779
0.775 18.0215 6.07268 5.99012 5.95875
0.7775 18.1155 6.10443 6.02127 5.98977
0.78 18.2095 6.13623 6.05249 6.02083
0.7825 18.3038 6.16807 6.08375 6.05193
0.785 18.3981 6.19996 6.11507 6.08308
0.7875 18.4926 6.23189 6.14645 6.11427
0.79 18.5872 6.26386 6.17788 6.1455
0.7925 18.682 6.29587 6.20936 6.17677
0.795 18.7769 6.32793 6.24089 6.20809
0.7975 18.872 6.36003 6.27248 6.23945
0.8 18.9671 6.39217 6.30412 6.27085
0.8025 19.0625 6.42436 6.33581 6.30229
0.805 19.1579 6.45659 6.36755 6.33378
0.8075 19.2535 6.48886 6.39934 6.3653
0.81 19.3492 6.52118 6.43117 6.39687
0.8125 19.4451 6.55353 6.46306 6.42847
0.815 19.5411 6.58594 6.495 6.46012
0.8175 19.6372 6.61839 6.52699 6.49181
0.82 19.7334 6.65088 6.55902 6.52355
0.8225 19.8298 6.68341 6.59111 6.55532
0.825 19.9264 6.71599 6.62324 6.58714
0.8275 20.023 6.74862 6.65541 6.619
0.83 20.1198 6.78128 6.68764 6.6509
0.8325 20.2168 6.81399 6.71991 6.68285
0.835 20.3138 6.84675 6.75222 6.71484
0.8375 20.411 6.87954 6.78458 6.74687
0.84 20.5083 6.91238 6.81698 6.77895
0.8425 20.6058 6.94526 6.84943 6.81107
0.845 20.7033 6.97818 6.88192 6.84323
0.8475 20.801 7.01113 6.91445 6.87543
0.85 20.8988 7.04413 6.94703 6.90767
0.8525 20.9968 7.07717 6.97965 6.93996
0.855 21.0948 7.11024 7.01231 6.97228
0.8575 21.193 7.14335 7.04501 7.00465
0.86 21.2913 7.1765 7.07775 7.03706
0.8625 21.3897 7.20968 7.11054 7.06951
0.865 21.4883 7.2429 7.14338 7.102
0.8675 21.5869 7.27615 7.17626 7.13452
0.87 21.6857 7.30944 7.20918 7.16709
0.8725 21.7846 7.34276 7.24214 7.1997
0.875 21.8836 7.37611 7.27516 7.23235
0.8775 21.9827 7.40949 7.30822 7.26503
0.88 22.082 7.4429 7.34132 7.29776
0.8825 22.1813 7.47633 7.37447 7.33052
0.885 22.2808 7.5098 7.40766 7.36332
0.8875 22.3804 7.5433 7.4409 7.39616
0.89 22.48 7.57682 7.47419 7.42903
0.8925 22.5798 7.61038 7.50752 7.46195
0.895 22.6798 7.64396 7.5409 7.4949
0.8975 22.7798 7.67756 7.57432 7.52789
0.9 22.8799 7.7112 7.60779 7.56092
0.9025 22.9802 7.74487 7.6413 7.59398
0.905 23.0805 7.77856 7.67486 7.62709
0.9075 23.181 7.81228 7.70846 7.66023
0.91 23.2815 7.84604 7.7421 7.6934
0.9125 23.3822 7.87982 7.77579 7.72662
0.915 23.483 7.91363 7.80952 7.75987
0.9175 23.5839 7.94747 7.84329 7.79316
0.92 23.6849 7.98135 7.8771 7.82648
0.9225 23.786 8.01525 7.91095 7.85984
0.925 23.8873 8.04919 7.94485 7.89323
0.9275 23.9886 8.08317 7.97878 7.92666
0.93 24.0901 8.11718 8.01275 7.96012
0.9325 24.1916 8.15122 8.04676 7.99362
0.935 24.2933 8.1853 8.08081 8.02714
0.9375 24.395 8.21941 8.1149 8.0607
0.94 24.4969 8.25356 8.14903 8.09429
0.9425 24.5989 8.28775 8.18319 8.12791
0.945 24.7009 8.32198 8.21739 8.16156
0.9475 24.8031 8.35625 8.25162 8.19524
0.95 24.9054 8.39055 8.2859 8.22896
0.9525 25.0078 8.42489 8.3202 8.2627
0.955 25.1103 8.45926 8.35454 8.29647
0.9575 25.2129 8.49367 8.38892 8.33027
0.96 25.3155 8.52812 8.42332 8.3641
0.9625 25.4183 8.5626 8.45776 8.39796
0.965 25.5212 8.59712 8.49224 8.43184
0.9675 25.6242 8.63167 8.52674 8.46575
0.97 25.7272 8.66626 8.56127 8.49969
0.9725 25.8304 8.70088 8.59583 8.53366
0.975 25.9336 8.73553 8.63042 8.56765
0.9775 26.0369 8.77021 8.66504 8.60167
0.98 26.1403 8.80492 8.69968 8.63572
0.9825 26.2438 8.83967 8.73435 8.6698
0.985 26.3474 8.87445 8.76904 8.7039
0.9875 26.451 8.90925 8.80376 8.73803
0.99 26.5548 8.94409 8.8385 8.77219
0.9925 26.6586 8.97896 8.87326 8.80637
0.995 26.7625 9.01386 8.90805 8.84059
0.9975 26.8665 9.04879 8.94285 8.87484
1 26.9705 9.08375 8.97768 8.90911
